seller;data;tipo;sku;quantity;nf;observ
PURPOSE;22/11/2023;Saída;4020;1;244271718;
PURPOSE;22/11/2023;Saída;4020;1;244271717;
PURPOSE;22/11/2023;Saída;4020;1;244271788;
PURPOSE;22/11/2023;Saída;4020;1;244271724;
PURPOSE;22/11/2023;Saída;4020;1;244271716;
PURPOSE;22/11/2023;Saída;6328;1;244271914;
PURPOSE;22/11/2023;Saída;6328;1;244271910;
PURPOSE;22/11/2023;Saída;6328;1;244271904;
PURPOSE;22/11/2023;Saída;6328;1;244271901;
PURPOSE;22/11/2023;Saída;6328;1;244271896;
PURPOSE;22/11/2023;Saída;6328;1;244271873;
PURPOSE;22/11/2023;Saída;6328;1;244271748;
PURPOSE;22/11/2023;Saída;6328;1;244271732;
PURPOSE;22/11/2023;Saída;6328;1;244271730;
PURPOSE;22/11/2023;Saída;6328;1;244271725;
PURPOSE;22/11/2023;Saída;6328;1;244271717;
PURPOSE;22/11/2023;Saída;6328;1;244271715;
PURPOSE;22/11/2023;Saída;6328;1;244271712;
PURPOSE;22/11/2023;Saída;6328;1;244271709;
PURPOSE;22/11/2023;Saída;6328;1;244271708;
PURPOSE;22/11/2023;Saída;6328;1;244271707;
PURPOSE;22/11/2023;Saída;6328;1;244271704;
PURPOSE;22/11/2023;Saída;6328;1;244271703;
PURPOSE;22/11/2023;Saída;6328;1;244271702;
PURPOSE;22/11/2023;Saída;6328;1;244271939;
PURPOSE;22/11/2023;Saída;6328;1;244271790;
PURPOSE;22/11/2023;Saída;6328;1;244271789;
PURPOSE;22/11/2023;Saída;6328;1;244271788;
PURPOSE;22/11/2023;Saída;6328;1;244271723;
PURPOSE;22/11/2023;Saída;6328;1;244271713;
PURPOSE;22/11/2023;Saída;CART-PR;1;244271940;
PURPOSE;22/11/2023;Saída;CART-PR;1;244271922;
PURPOSE;22/11/2023;Saída;CART-PR;1;244271919;
PURPOSE;22/11/2023;Saída;CART-PR;1;244271903;
PURPOSE;22/11/2023;Saída;CART-PR;1;244271732;
PURPOSE;22/11/2023;Saída;CART-PR;1;244271902;
PURPOSE;22/11/2023;Saída;ECOI;1;244271934;
PURPOSE;22/11/2023;Saída;ECOI;1;244271888;
PURPOSE;22/11/2023;Saída;ECOI;1;244271735;
PURPOSE;22/11/2023;Saída;ECOI;1;244271909;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271932;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271927;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271922;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271919;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271910;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271907;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271895;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271718;
PURPOSE;22/11/2023;Saída;BBL-ANT-AZ;1;244271928;
PURPOSE;22/11/2023;Saída;JB-POC-IT;1;244271927;
PURPOSE;22/11/2023;Saída;JB-POC-IT;1;244271888;
PURPOSE;22/11/2023;Saída;JB-POC-IT;1;244271911;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271927;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271918;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271895;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271730;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271718;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271709;
PURPOSE;22/11/2023;Saída;JB-POC-AS;1;244271708;
